TKA901,0:0:1(45) - KCL/K2SO4 (Durban) - 50 Kg,Trifert
XTV040,0:0:4(4) - K2SO4 (Kaapmuiden) - 1 Ton (POR),Trifert
XTK253,0:1:1(27) + 6.8% S - MAP/K2SO4 (Moos) - 500 Kg (POR),Trifert
XTK116,0:1:2(22) - MAP/KCL - 500 Kg (POR),Trifert
XTK217,0:1:2(25) - MAP/KCL (Moos) - 50 Kg (POR),Trifert
2223448,1:0:0(24) + 12% S - 500 KG,Constantia Kunsmis Wellington
2223453,1:0:0(26) + 6.8% S - 50 KG (Slegs Rawsonville & Grabouw),Wes Kaap Kunsmis (Pty) Ltd t/a Greenspan SA
1102191,1:0:0(27) + 3.5% S - AN - 500 Kg (POR),Kynoch Fertilizer
101933,1:0:0(33) + 12% S  - 500 Kg,Kynoch Fertilizer
1019280,1:0:0(33) + 12% S - Ureum - 500 Kg,Constantia Kunsmis Wellington
1019281,1:0:0(33) + S - Ureum - 500 Kg,Constantia Kunsmis Wellington
NP5008-3SW,1:0:0(33.5) + 12% S (Swellendam) - 500 Kg (POR),Consolidated Limteworks (Pty) Ltd t/a Nitrophoska
XTK222,1:0:0(34) + 12% S - Ureum/Ams (Moos) - 50 Kg (POR),Trifert
0109808,1:0:0(40) - 50 Kg,Constansia kunsmis Wellington (Sepsiale terme)
101897,1:0:0(40) (Slegs Montagu) - 50 Kg,Agrimark Operations Limited (Plantvoeding)
101916,1:0:0(40) + 6% S - 50 Kg,Kynoch Fertilizer
XTK114,1:0:0(40) + 6% S - 50 Kg (POR),Trifert
2223432,1:0:0(40) + 6% S - 50 KG (Slegs Rawsonville & Grabouw),Wes Kaap Kunsmis (Pty) Ltd t/a Greenspan SA
101911,1:0:0(40) + 6% S - 500 Kg (POR),Kynoch Fertilizer
XTK016,1:0:0(40) + 6% S - SGU -  1 Ton (POR),Trifert
XTK248,1:0:0(40) + 6% S - SGU (Moos) - 50Kg (POR),Trifert
101928,1:0:0(40) + 6% S - Ureum - 500 Kg,Constantia Kunsmis Wellington
0109803,1:0:0(40) + 6% S - Ureum (Slegs Kanoneiland) - 50 Kg,Constansia kunsmis Wellington (Sepsiale terme)
XTK234,1:0:0(40) + 6% S (Moos) - 500 Kg (POR),Trifert
S5007-U001,1:0:0(40) + 6% S (Upington) - 50 Kg,Consolidated Limteworks (Pty) Ltd t/a Nitrophoska
NP5007-2MA,1:0:0(40) + S  (Malmesbury) - 50 Kg In Slings,Consolidated Limteworks (Pty) Ltd t/a Nitrophoska
NP5007-3MA,1:0:0(40) + S  (Malmesbury) - 500 Kg,Consolidated Limteworks (Pty) Ltd t/a Nitrophoska
NP5007-2MO,1:0:0(40) + S  (Moorreesburg) - 50 Kg In Slings,Consolidated Limteworks (Pty) Ltd t/a Nitrophoska
NP5007-1MO,1:0:0(40) + S  (Moorreesburg) - 50 Kg Loose,Consolidated Limteworks (Pty) Ltd t/a Nitrophoska
NP5007-3MO,1:0:0(40) + S  (Moorreesburg) - 500 Kg,Consolidated Limteworks (Pty) Ltd t/a Nitrophoska
NP5007-2RI,1:0:0(40) + S  (Rietpoel) - 50 Kg In Slings,Consolidated Limteworks (Pty) Ltd t/a Nitrophoska
NP5007-1RI,1:0:0(40) + S  (Rietpoel) - 50 Kg Loose,Consolidated Limteworks (Pty) Ltd t/a Nitrophoska
NP5007-3RI,1:0:0(40) + S  (Rietpoel) - 500 Kg,Consolidated Limteworks (Pty) Ltd t/a Nitrophoska
NP5007-1SW,1:0:0(40) + S  (Swellendam) - 50 Kg Loose,Consolidated Limteworks (Pty) Ltd t/a Nitrophoska
NP5007-3SW,1:0:0(40) + S  (Swellendam) - 500 Kg,Consolidated Limteworks (Pty) Ltd t/a Nitrophoska
0107640,1:0:0(40) + S - Ureum - 500 Kg,Constantia Kunsmis Wellington
NP5007-1MA,1:0:0(40) + S (Malmesbury) - 50 Kg Loose,Consolidated Limteworks (Pty) Ltd t/a Nitrophoska
NP5007-2SW,1:0:0(40) + S (Swellendam) - 50 Kg In Slings,Consolidated Limteworks (Pty) Ltd t/a Nitrophoska
010754,1:0:0(42) + 4% S (Slegs Swellendam) - 500 Kg,Kynoch Fertilizer
XTK148,1:0:1(28) + 2.7% S + 4.4% Mg - KAN/KCL (Moos) - 50 Kg (POR),Trifert
XTK122,1:0:1(30) - AMS/KCL - 50 Kg (POR),Trifert
102027,1:0:1(32) - AN - 50 Kg,Kynoch Fertilizer
102025,1:0:1(32) + 6% S - 50 Kg (POR),Kynoch Fertilizer
102026,1:0:1(32) + 6% S - 500 Kg (POR),Kynoch Fertilizer
223382,1:0:1(32) + 7.4% S + % EC5 Lc (An) - 50Kg,Kynoch Fertilizer
XTK081,1:0:1(33) - KAN/AMS/K2SO4 - 50 Kg (POR),Trifert
